time_mid_s,Tp_zero,Tp_psd,Tp_acf,Tp_fused,confidence
14.9972093,nan,14.9972093,16.33029457,15.66375194,1.75
29.9944186,12.13107597,14.9972093,13.79743256,13.79743256,1.5
44.99162791,nan,7.498604651,14.93055504,11.21457984,1.75
59.98883721,6.365482171,14.9972093,3.066096124,6.365482171,1.5
